File Version,BWSpec4.11_1
149,805.20,12419.29,320.21,0.0000,65535.0000,3698.0000,103.8296,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
150,805.35,12416.97,322.53,0.0000,65535.0000,3789.0000,189.4880,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
151,805.50,12414.66,324.85,0.0000,65535.0000,3963.0000,358.2851,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
152,805.65,12412.34,327.16,0.0000,65535.0000,3827.0000,217.2200,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
153,805.80,12410.03,329.48,0.0000,65535.0000,3758.0000,143.2919,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
154,805.95,12407.71,331.79,0.0000,65535.0000,3837.0000,217.4996,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
155,806.10,12405.40,334.10,0.0000,65535.0000,3757.0000,132.8425,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
156,806.25,12403.09,336.41,0.0000,65535.0000,3764.0000,135.3194,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
157,806.40,12400.78,338.72,0.0000,65535.0000,3910.0000,276.9295,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
158,806.55,12398.47,341.03,0.0000,65535.0000,3893.0000,255.6718,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
159,806.70,12396.16,343.34,0.0000,65535.0000,3839.0000,197.5455,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
160,806.85,12393.85,345.65,0.0000,65535.0000,4090.0000,444.5496,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
161,807.00,12391.55,347.96,0.0000,65535.0000,4097.0000,447.6832,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
162,807.15,12389.24,350.26,0.0000,65535.0000,3912.0000,258.9453,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
